,ITOT,DIA,SPY,XLG,AIA,GXC,XLY,XLE,XLF,XLV,XLI,XLB,XLK,XLU,ICLN,CGW,WOOD,IYR
2019-05-02 00:00:00+00:00,1.1856406492621492e-15,0.003433857501156076,0.0025608054163868436,2.7384920471477753e-15,1.2476516609439032e-15,1.115335370999987e-15,6.915925576182467e-16,0.0,0.0,8.642369452312108e-16,1.0458606974035865e-15,1.3841401377512848e-15,1.426323609424212e-15,0.0,0.0,0.0,1.2456942534199193e-15,0.0
2019-05-03 00:00:00+00:00,1.1856406492621492e-15,0.003433857501156076,0.0025608054163868436,2.7384920471477753e-15,1.2476516609439032e-15,1.115335370999987e-15,6.915925576182467e-16,0.0,0.0,8.642369452312108e-16,1.0458606974035865e-15,1.3841401377512848e-15,1.426323609424212e-15,0.0,0.0,0.0,1.2456942534199193e-15,0.0
2019-05-06 00:00:00+00:00,1.1856406492621492e-15,0.003433857501156076,0.0025608054163868436,2.7384920471477753e-15,1.2476516609439032e-15,1.115335370999987e-15,6.915925576182467e-16,0.0,0.0,8.642369452312108e-16,1.0458606974035865e-15,1.3841401377512848e-15,1.426323609424212e-15,0.0,0.0,0.0,1.2456942534199193e-15,0.0
2019-05-07 00:00:00+00:00,1.1856406492621492e-15,0.003433857501156076,0.0025608054163868436,2.7384920471477753e-15,1.2476516609439032e-15,1.115335370999987e-15,6.915925576182467e-16,0.0,0.0,8.642369452312108e-16,1.0458606974035865e-15,1.3841401377512848e-15,1.426323609424212e-15,0.0,0.0,0.0,1.2456942534199193e-15,0.0
2019-05-08 00:00:00+00:00,1.1856406492621492e-15,0.003433857501156076,0.0025608054163868436,2.7384920471477753e-15,1.2476516609439032e-15,1.115335370999987e-15,6.915925576182467e-16,0.0,0.0,8.642369452312108e-16,1.0458606974035865e-15,1.3841401377512848e-15,1.426323609424212e-15,0.0,0.0,0.0,1.2456942534199193e-15,0.0
2019-05-09 00:00:00+00:00,1.1856406492621492e-15,0.003433857501156076,0.0025608054163868436,2.7384920471477753e-15,1.2476516609439032e-15,1.115335370999987e-15,6.915925576182467e-16,0.0,0.0,8.642369452312108e-16,1.0458606974035865e-15,1.3841401377512848e-15,1.426323609424212e-15,0.0,0.0,0.0,1.2456942534199193e-15,0.0
2019-05-10 00:00:00+00:00,1.1856406492621492e-15,0.003433857501156076,0.0025608054163868436,2.7384920471477753e-15,1.2476516609439032e-15,1.115335370999987e-15,6.915925576182467e-16,0.0,0.0,8.642369452312108e-16,1.0458606974035865e-15,1.3841401377512848e-15,1.426323609424212e-15,0.0,0.0,0.0,1.2456942534199193e-15,0.0
2019-05-13 00:00:00+00:00,1.1856406492621492e-15,0.003433857501156076,0.0025608054163868436,2.7384920471477753e-15,1.2476516609439032e-15,1.115335370999987e-15,6.915925576182467e-16,0.0,0.0,8.642369452312108e-16,1.0458606974035865e-15,1.3841401377512848e-15,1.426323609424212e-15,0.0,0.0,0.0,1.2456942534199193e-15,0.0
2019-05-14 00:00:00+00:00,1.1856406492621492e-15,0.003433857501156076,0.0025608054163868436,2.7384920471477753e-15,1.2476516609439032e-15,1.115335370999987e-15,6.915925576182467e-16,0.0,0.0,8.642369452312108e-16,1.0458606974035865e-15,1.3841401377512848e-15,1.426323609424212e-15,0.0,0.0,0.0,1.2456942534199193e-15,0.0
2019-05-15 00:00:00+00:00,1.1856406492621492e-15,0.003433857501156076,0.0025608054163868436,2.7384920471477753e-15,1.2476516609439032e-15,1.115335370999987e-15,6.915925576182467e-16,0.0,0.0,8.642369452312108e-16,1.0458606974035865e-15,1.3841401377512848e-15,1.426323609424212e-15,0.0,0.0,0.0,1.2456942534199193e-15,0.0
