Date,MKT,SMB,HML,RMW,CMA,RF
2012-06-08,0.0085,0.0023,0.0002,-0.001,0.0009,0.0
2012-06-11,-0.013999999999999999,-0.0084,-0.0005,0.0042,0.0032,0.0
2012-06-12,0.0116,0.0014000000000000002,0.0008,-0.0031,-0.0001,0.0
2012-06-13,-0.0077,-0.0045000000000000005,0.0034999999999999996,0.0013,0.0008,0.0
2012-06-14,0.0104,0.0022,0.0037,-0.0008,0.0038,0.0
2012-06-15,0.010700000000000001,0.001,-0.0006,-0.0021,-0.0044,0.0
2012-06-18,0.0021,0.0009,-0.0085,0.0018,-0.0018,0.0
2012-06-19,0.0109,0.0069,0.0016,-0.0036,-0.0032,0.0
2012-06-20,-0.0014000000000000002,-0.0009,0.0015,0.0003,-0.0004,0.0
2012-06-21,-0.0226,-0.001,0.0012,0.0002,0.0066,0.0
2012-06-22,0.0079,0.0064,0.0007000000000000001,-0.0032,-0.0011,0.0
2012-06-25,-0.016200000000000003,0.0008,-0.0014000000000000002,0.0046,0.002,0.0
2012-06-26,0.0052,-0.001,-0.0006,-0.0008,0.0004,0.0
2012-06-27,0.0092,0.004,0.0048,-0.0053,0.0001,0.0
2012-06-28,-0.0024,0.0018,0.0044,0.0019,0.0051,0.0
2012-06-29,0.0255,0.0033,-0.0070999999999999995,-0.0025,-0.0060999999999999995,0.0
2012-07-02,0.0033,0.0069,-0.0002,-0.0027,0.0021,0.0
2012-07-03,0.0076,0.0073,0.0007000000000000001,0.0015,-0.0060999999999999995,0.0
2012-07-05,-0.0036,0.0045000000000000005,-0.0088,0.0058,-0.0027,0.0
2012-07-06,-0.009899999999999999,-0.004,0.0036,0.0007000000000000001,0.0068000000000000005,0.0
2012-07-09,-0.0023,-0.0025,-0.0024,0.0023,0.0,0.0
2012-07-10,-0.0084,-0.0039000000000000003,0.003,-0.0005,0.0031,0.0
2012-07-11,-0.0008,-0.0027,0.0075,-0.0016,0.0008,0.0
2012-07-12,-0.005,0.0015,-0.008199999999999999,-0.0013,0.0007000000000000001,0.0
2012-07-13,0.016200000000000003,-0.0028000000000000004,0.005699999999999999,-0.0015,0.0004,0.0
2012-07-16,-0.0031,-0.0044,-0.0025,0.0001,0.0001,0.0
2012-07-17,0.0067,-0.0051,0.0024,-0.0007000000000000001,0.0017000000000000001,0.0
2012-07-18,0.0070999999999999995,0.0023,-0.0079,0.004699999999999999,-0.006999999999999999,0.0
2012-07-19,0.0027,-0.0046,-0.0097,0.0051,-0.0086,0.0
2012-07-20,-0.0106,-0.0036,0.0006,-0.0002,0.0034000000000000002,0.0
2012-07-23,-0.0102,-0.0066,0.002,0.0009,0.0037,0.0
2012-07-24,-0.009899999999999999,-0.005699999999999999,0.0026,-0.0028000000000000004,0.001,0.0
2012-07-25,-0.0001,0.0024,-0.0005,-0.0045000000000000005,0.0006,0.0
2012-07-26,0.015300000000000001,-0.0075,0.0038,0.0014000000000000002,0.0023,0.0
2012-07-27,0.0196,0.005699999999999999,0.0008,-0.0015,-0.0037,0.0
2012-07-30,-0.0013,-0.0039000000000000003,0.0026,0.0021,0.0028000000000000004,0.0
2012-07-31,-0.004699999999999999,0.0003,0.0026,0.0042,-0.0005,0.0
2012-08-01,-0.005,-0.015600000000000001,0.0029,0.0008,0.0017000000000000001,0.0
2012-08-02,-0.0069,0.0014000000000000002,-0.0042,-0.0008,0.0009,0.0
2012-08-03,0.0199,0.0063,0.005699999999999999,-0.0032,-0.002,0.0
2012-08-06,0.0034000000000000002,0.0055000000000000005,0.0007000000000000001,-0.003,-0.002,0.0
2012-08-07,0.0064,0.0040999999999999995,0.0008,0.001,-0.005,0.0
2012-08-08,0.0009,-0.002,0.0059,0.0017000000000000001,0.0042,0.0
2012-08-09,0.0012,0.0034999999999999996,0.0012,-0.0024,-0.004,0.0
2012-08-10,0.0017000000000000001,-0.0034000000000000002,-0.0002,0.0013,0.0006,0.0
2012-08-13,-0.0014000000000000002,-0.0017000000000000001,0.0,-0.0006,0.0006,0.0
2012-08-14,-0.0003,-0.0043,-0.0005,0.0028000000000000004,0.0025,0.0
2012-08-15,0.0027,0.0072,-0.0007000000000000001,-0.0008,-0.001,0.0
2012-08-16,0.0075,0.0048,-0.0017000000000000001,0.0003,-0.0021,0.0
2012-08-17,0.0027,0.0059,0.0012,0.0003,-0.0012,0.0
2012-08-20,-0.0006,-0.0044,0.006,-0.0023,0.0015,0.0
2012-08-21,-0.0031,0.0017000000000000001,0.004,-0.0007000000000000001,-0.0007000000000000001,0.0
2012-08-22,0.0,-0.0051,-0.0034999999999999996,-0.002,-0.0032,0.0
2012-08-23,-0.0078000000000000005,-0.0006,-0.0036,-0.0018,0.0012,0.0
2012-08-24,0.0060999999999999995,-0.003,-0.0004,-0.0013,0.0018,0.0
